Name,Monoisotopic_mass,Formula
6:3 Fluorotelomer carboxylic acid,392.008196,C9H5F13O2
"(2Z)-4,4,5,5,6,6,6-Heptafluoro-2-iodohex-2-en-1-ol",351.9195101,C6H4F7IO
"4,4,5,5,6,6,6-heptafluoro-2-iodohex-2-en-1-ol",351.9195101,C6H4F7IO
"Perfluoro-N,N,N',N'-tetrakis(heptafluoropropyl)-1,6-hexanediamine",1003.942276,C18F40N2
Ammonium perfluoro-9-(methyl)decanoate,563.9641215,C11HF21O2
"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanenitrile",194.9918964,C4F7N
6:2 Fluorotelomer thiohydroxy ammonium chloride,496.0979766,C14H19F13NOS
"5,6-dibromo-1,1,1,2,2,3,3,4,4-nonafluorohexane",403.8457797,C6H3Br2F9
"2H,2H,3H,3H-Perfluorooctanoic acid",342.0113896,C8H5F11O2
"Octadecyl 2,2,3,3,4,4,4-heptafluorobutanoate",466.2681778,C22H37F7O2
Vinyl perfluorovalerate,289.9989331,C7H3F9O2
Methyl Perfluorododecanoate,627.9765779,C13H3F23O2
"perfluoroalkylamido betaine-related, n=12",806.0683474,C20H15F25N2O3
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Henicosafluorodocosane",688.162093,C22H25F21
"1,1,1,3,4,4,4-Heptafluoro-3-(trifluoromethyl)butan-2-one",265.9789466,C5F10O
"Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-nonacosafluoro-2-hydroxyheptadecyl phosphate",873.9646276,C17H8F29O5P
"2,3,4,4,5,5,5-Heptafluoro-3-(pentafluoroethyl)-2-(trifluoromethyl)pentanoic acid",413.9737023,C8HF15O2
Perfluoropentanesulfonic acid,349.9470748,C5HF11O3S
Lithium bis[(pentafluoroethyl)sulfonyl]azanide,380.918731,C4HF10NO4S2
Bis(2-hydroxyethyl)methyl(1-(perfluoro-9-methyldecyl))-2-hydroxyprop-3-ylammonium iodide,746.0997671,C19H19F23NO3
3-Methyl-2-(nonafluorobutyl)-1H-indole,349.0513031,C13H8F9N
"N-Nitrosobis(2,2,3,3,4,4,4-heptafluorobutyl)amine",410.0100076,C8H4F14N2O
"1,1'-(Oxybis((2-methylethylene)oxy))bis(3-(perfluoro-9-methyldecyl)propan-2-ol)",1386.088921,C34H24F46O5
"Cl-substituted perfluoroalkyl (linear) carboyxlic acids_i, n=10",579.934571,C11HClF20O2
"4,4,5,5,6,6,6-Heptafluorohexyl acetate",270.0490769,C8H9F7O2
"perfluoroalkanesulfonamido quaternary ammonium dicarboxylate A, n=6",600.0599736,C15H17F13N2O6S
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorohexadecane",676.0305053,C16H9F25
"double bond-perfluoroalkyl alcohols, n=3",297.9851749,C6HF11O
Chromium(3+) perfluorooctanoate,413.9737023,C8HF15O2
"2-Propenoic acid, 2-methyl-, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl ester",475.0311388,C12H12F11NO4S
3-(Perfluoropentyl)-5-methylpyrazole,350.0277084,C9H5F11N2
"Methyl 3-amino-4,4,5,5,6,6,6-heptafluorohex-2-enoate",269.0286758,C7H6F7NO2
